unix,dai_mcap
1574294400,12494872.076604953
1574380800,14391748.486608919
1574467200,14697564.657745376
1574553600,13934943.346314434
1574640000,16428649.463907203
1574726400,15787652.136815354
1574812800,15754951.873730391
1574899200,17766421.873473242
1574985600,19067967.22768785
1575072000,19116829.497572385
1575158400,21270234.563937634
1575244800,38514746.91648468
1575331200,44117485.146808125
1575417600,44886458.61735102
1575504000,44188406.22736558
1575590400,45391888.53901079
1575676800,43444916.85219919
1575763200,44686580.56870687
1575849600,43778795.94907159
1575936000,43609646.342096776
1576022400,45574452.93901587
1576108800,46033530.19020713
1576195200,46718171.34740256
1576281600,46326305.22269202
1576368000,46347768.93292016
1576454400,49236345.7379027
1576540800,48052481.54799645
1576627200,47881989.88029857
1576713600,49258774.42647197
1576800000,43779851.32934509
1576886400,42462708.54012666
1576972800,43319642.212579764
1577059200,43197962.1501458
1577145600,42876969.875245765
1577232000,42013812.036031455
1577318400,41216496.643668175
1577404800,41140003.28390296
1577491200,41312458.13496491
1577577600,42217539.83942108
1577664000,41570453.64757815
1577750400,41778474.810325526
1577836800,41083185.19094878
1577923200,41278022.173959784
1578009600,42581602.14223324
1578096000,41388590.59059867
1578182400,41935818.1392408
1578268800,44894739.590651274
1578355200,47168618.15644877
1578441600,46123776.55402997
1578528000,46010555.08001339
1578614400,83329194.30009556
1578700800,83101741.42074405
1578787200,84458742.08336683
1578873600,85495814.02138372
1578960000,87284468.50076805
1579046400,87663675.27361801
1579132800,89222338.63485347
1579219200,94452683.0623559
1579305600,95750977.341536
1579392000,96638682.17044407
1579478400,97204215.87515491
1579564800,98675239.9516217
1579651200,99973323.17849432
1579737600,100642563.13049892
1579824000,101217363.23020501
1579910400,101589117.75428417
1579996800,102572368.28320919
1580083200,103533895.38618834
1580169600,105889812.14565243
1580256000,105739484.00904961
1580342400,107294604.3455077
1580428800,107092084.61306506
1580515200,107414287.24037214
1580601600,106714941.97582336
1580688000,107667359.50352721
1580774400,110469099.30394429
1580860800,111404177.02940492
1580947200,112357810.36645739
1581033600,113742950.36056434
1581120000,113854708.2034847
1581206400,115593622.08550976
1581292800,115780845.51222603
1581379200,116713432.18182547
1581465600,118237904.59823069
1581552000,121852077.59133922
1581638400,123258195.23984866
1581724800,124365747.5669735
1581811200,126511838.39251125
1581897600,125802104.78200884
1581984000,121601576.73523311
1582070400,119343202.26409605
1582156800,119994841.40772739
1582243200,120669545.82334405
1582329600,119999879.67666121
1582416000,121265667.2423385
1582502400,122221847.68163554
1582588800,124333572.22642156
1582675200,122816784.24678782
1582761600,122762632.1099471
1582848000,120359117.12014687
1582934400,119609005.93040194
1583020800,118898199.0078139
1583107200,117598592.49232955
1583193600,118062741.86893427
1583280000,118091309.22448184
1583366400,117956144.91908818
1583452800,121583102.75306728
1583539200,122124689.81473872
1583625600,119868152.90353057
1583712000,120616081.0191986
1583798400,119504802.9923777
1583884800,120666966.26351641
1583971200,113644743.1967267
1584057600,99870494.32027704
1584144000,97374033.90008265
1584230400,99441931.96500085
1584316800,94982374.33248898
1584403200,92513457.80079806
1584489600,95234501.65493493
1584576000,82433487.93312806
1584662400,85363929.54314758
1584748800,84357671.64803812
1584835200,83248499.82178488
1584921600,83487153.15812723
1585008000,84073256.11515568
1585094400,83080450.09868547
1585180800,83803875.24578273
1585267200,82564357.44305213
1585353600,83783726.44999662
1585440000,83645143.84669583
1585526400,83014572.9706177
1585612800,84604916.28342433
1585699200,85377599.02522989
1585785600,87174649.33655205
1585872000,87736192.35390392
1585958400,87798252.04791698
1586044800,87512092.50721036
1586131200,87837561.8238634
1586217600,82750899.6185503
1586304000,81205780.97833264
1586390400,81806776.9747962
1586476800,81417142.97538565
1586563200,82301197.26202875
1586649600,81588951.96078049
1586736000,81930549.92481373
1586822400,81971474.7621311
1586908800,82443814.17918995
1586995200,83107753.70619087
1587081600,82938248.99037026
1587168000,85096331.35155188
1587254400,88395292.67896853
1587340800,89671208.62946357
1587427200,90443235.15227863
1587513600,91076089.11121702
1587600000,94361062.13486812
1587686400,96484374.24842685
1587772800,97159438.44319566
1587859200,97931890.0610497
1587945600,98193616.58432366
1588032000,98373949.97019994
1588118400,101018885.91953857
1588204800,101749293.0265788
1588291200,100358351.38636166
1588377600,108999255.71291386
1588464000,111837515.80950211
1588550400,111891118.40861142
1588636800,112363389.56415515
1588723200,112285016.21828322
1588809600,111873856.59437445
1588896000,111758621.32927436
1588982400,112704063.64743033
1589068800,110301832.60521017
1589155200,109685940.28924671
1589241600,109061153.63652559
1589328000,108482288.17422742
1589414400,109739787.66247982
1589500800,110287509.71683836
1589587200,110976490.4278753
1589673600,111791114.32282807
1589760000,114476289.63808881
1589846400,114782483.27563262
1589932800,120124927.45777301
1590019200,119229931.96290539
1590105600,124107292.46895872
1590192000,121333689.11516446
1590278400,121216901.15340765
1590364800,121256916.91697894
1590451200,120523010.95791055
1590537600,120650456.81529352
1590624000,120836438.53919819
1590710400,122347744.78277592
1590796800,126153595.59898758
1590883200,130156743.1883779
1590969600,126002370.30860972
1591056000,121833234.37153426
1591142400,132406317.19183417
1591228800,132259957.25114259
1591315200,132609399.83749643
1591401600,132450126.64716485
1591488000,135549642.15868178
1591574400,135364072.30838552
1591660800,121327219.76273414
1591747200,121599426.80026667
1591833600,125923811.3336495
1591920000,123952237.57413386
1592006400,123845060.05397852
1592092800,119829990.9818713
1592179200,116341349.50257051
1592265600,117505080.73788546
1592352000,119156353.55191788
1592438400,120463657.39265442
1592524800,125014843.22416101
1592611200,126475657.08322255
1592697600,125999317.69857492
1592784000,130842491.96865481
1592870400,128045258.96495633
1592956800,129833259.98245533
1593043200,128732634.87557055
1593129600,129428187.21117312
1593216000,130070969.03170389
1593302400,129354464.83594099
1593388800,129257127.90720613
1593475200,129588690.80676387
1593561600,148046336.0144475
1593648000,149186035.21665615
1593734400,164978171.92274067
1593820800,170877175.21063322
1593907200,176652872.08065277
1593993600,182138140.53510058
1594080000,186937930.3225952
1594166400,189122931.2277246
1594252800,189777883.17142147
1594339200,192464452.95129797
1594425600,201345310.0622044
1594512000,194491882.0326116
1594598400,198857973.3928572
1594684800,199399809.94038838
1594771200,200950738.51034832
1594857600,201961616.26915804
1594944000,210379200.86005774
1595030400,212167294.68489894
1595116800,221183785.58543697
1595203200,220578968.86041912
1595289600,222782669.18944073
1595376000,224399095.17973483
1595462400,260784026.33687532
1595548800,285136546.8119523
1595635200,254444724.58729285
1595721600,276975318.1032313
1595808000,287337611.2356174
1595894400,301443469.61440885
1595980800,330149282.99283665
1596067200,347418058.4233858
1596153600,370563791.73043424
1596240000,368973993.62775385
1596326400,369885939.6288296
1596412800,385394038.34755677
1596499200,386659620.0389415
1596585600,389543205.6139353
1596672000,380719415.7497119
1596758400,384611513.89705455
1596844800,383999249.12323195
1596931200,383463405.40891385
1597017600,424372186.0774024
1597104000,428380630.16322786
1597190400,425553140.7532102
1597276800,435923683.05305076
1597363200,415657266.9815674
1597449600,415930724.58108544
1597536000,423689537.28378683
1597622400,429635612.2051514
1597708800,428248084.1811536
1597795200,422939402.7731869
1597881600,433406175.0136079
1597968000,435985038.4436561
1598054400,443541608.272149
1598140800,445425128.8674605
1598227200,449461905.93555105
1598313600,450681551.7947641
1598400000,453067357.68045026
1598486400,450446823.4645822
1598572800,449994717.1680161
1598659200,442729019.277792
1598745600,448769575.1624346
1598832000,445706299.8286813
1598918400,468313157.81010205
1599004800,493459666.4078496
1599091200,520082677.3568309
1599177600,467054804.573293
1599264000,442472478.61251414
1599350400,432144169.8408567
1599436800,438965908.3577825
